Index,Link,Playlist ID,Unit test ID,Essential/Optional (E/O),Number of cycles
,,,,,
,Playlist 0: nonexistent,g4_m1,,,
Exercise1,/e/place_value/,g4_m1,,E,
Exercise 2,/e/counting_1/,g4_m1,,E,
Exercise 3,/e/comparing_whole_numbers/,g4_m1,,E,
Exercise 4,/e/addition_3/,g4_m1,,E,
Exercise 5,/e/addition_4/,g4_m1,,E,
Exercise 6,/e/subtraction_3/,g4_m1,,E,
Exercise 7,/e/subtraction_4/,g4_m1,,E,
Exercise 8,/e/arithmetic_word_problems_1/,g4_m1,,E,
,,,,,
,,,,,
,,,,,
,Grade IV Mid Year Exam,g4_m1,g4_mt0,E,3
