Index,Link,Playlist ID,Essential/Optional (E/O),
Video 2,/v/congruent-segments/,,E,
Exercise 1,/congruent_segments/,,E,
Exercise 2,/e/measuring_segments/,,E,
Video 3,/v/figuring-out-days-of-the-week/,,E,
Video 4,/v/math-patterns-example-1/,,E,
Video 5,/v/math-patterns-example-2/,,E,
Video 6,/v/relationships-between-patterns/,,E,
Video 7,/v/interpreting-relationships-between-patterns/,,E,
Video 8,/v/interpreting-and-graphing-relationships-between-patterns/,,E,
,,,,
Playlist 8:Factors and multiples,,g5_p8,,
,,,,
,Subtitle: week 10,,,
Video 1,/v/divisibility-tests-for-2--3--4--5--6--9--10/,,E,
Video 2,/v/recognizing-divisibility/,,E,
Video 3,/v/the-why-of-the-3-divisibility-rule/,,E,
Video 4,/v/the-why-of-the-9-divisibility-rule/,,E,
Video 5,/v/finding-factors-of-a-number/,,E,
Exercise 1,Exercise:/e/divisibility_tests/,,E,
Exercise 2 ,Exercise:/e/divisibility_0.5/,,E,
Video 6,/v/prime-numbers/,,E,
Video 7,/v/recognizing-prime-numbers/,,E,
Exercise 3,/e/prime_numbers/,,E,
Exercise 4,/e/composite_numbers/,,E,
,Quiz 4,g5_p8_q4,,
,,,,
Playlist 9:Reading and interpreting data,,g5_p9,,
,,,,
,Subtitle: week 11,,,
Video 1,/v/reading-tables-1/,,E,
Video 2,/v/reading-tables-2/,,E,
Exercise 1,/e/reading_tables_1/,,E,
Exercise 2,/e/reading_tables_2/,,E,
Video 3,/v/u08-l1-t2-we3-stem-and-leaf-plots/,,E,
Video 4,/v/reading-stem-and-leaf-plots/,,E,
Video 5,/v/reading-pictographs/,,E,
Video 6,/v/reading-bar-graphs/,,E,
Video 7,/v/histograms/,,E,
Exercise 3,/e/reading_stem_and_leaf_plots/,,E,
Exercise 4,/e/reading_pictographs_1/,,E,
Exercise 5,/e/reading_pictographs_2/,,E,
Video 8,/v/reading-bar-charts-1/,,E,
Video 9,/v/creating-bar-charts-1/,,E,
Video 10,/v/reading-bar-charts-2/,,E,
Video 11,/v/reading-bar-charts-3/,,E,
,Quiz 5,g5_p9_q5,,
,,,,
,Grade V - Unit Test 2,"g5_p5,g5_p6,g5_p7,
g5_p8,g5_p9",2,
,,,,
"Playlist 10: Perimeter, area and volume- ratio and proportion",,g5_p10,,
,,,,
,,,,
,Subtitle: Week 12,,,
Video 1,/v/perimeter-and-area-basics/,,E,
Video 2,/v/triangle-area-proofs/,,O,
Video 3,/v/interesting-perimeter-and-area-problems/,,E,
Video 4,/v/area-of-diagonal-generated-triangles-of-rectangle-are-equal/,,E,
Video 5,/v/area-of-an-equilateral-triangle/,,E,
Video 6,/v/area-of-shaded-region-made-from-equilateral-triangles/,,E,
Video 7,/v/challenging-perimeter-problem/,,O,
Exercise 1,/e/area_of_triangles_1/,,E,
Exercise 2,/e/shaded_areas/,,E,
Video 8,/v/quadrilateral-overview/,,O,
Video 9,/v/quadrilateral-properties/,,O,
Video 10,/v/perimeter-of-a-polygon/,,O,
Video 11,/v/area-of-a-kite/,,O,
,,,,
Playlist 11- Quadrilaterals & telling time,,g5_p11,,
,,,,
,Subtitle: Week 13,,,
Video 1,/v/understanding-multiplication-through-area-models/,,E,
Video 2,/v/area-model-for-multiplication/,,E,
Video 3,/v/quadrilateral-overview/,,E,
Video 4,/v/quadrilateral-properties/,,E,
Video 5,/v/kites-as-a-mathematical-shape/,,E,
Video 6,/v/quadrilateral-types-exercise/,,E,
Video 7,/v/proof---opposite-sides-of-parallelogram-congruent/,,O,
Video 8,/v/proof---diagonals-of-a-parallelogram-bisect-each-other/,,O,
Video 9,/v/proof---opposite-angles-of-parallelogram-congruent/,,O,
Video 10,/v/proof---rhombus-diagonals-are-perpendicular-bisectors/,,O,
Video 11,/v/proof---rhombus-area-half-product-of-diagonal-length/,,O,
Video 12,/v/area-of-a-parallelogram/,,E,
Exercise 1,/e/quadrilateral_types/,,E,
Exercise 2,/e/quadrilateral_angles/,,E,
,Subtitle: week 14,,,
Video 12,/v/telling-time-exercise-example-1/,,E,
Video 13,/v/telling-time-exercise-example-2/,,E,
Exercise 3,/e/telling_time_0.5/,,E,
Exercise 4,/e/telling_time/,,E,
Exercise 5,/e/telling_time_2,,E,
,Quiz 6,g5_p11_q6,,
