Index,Link,Playlist ID,Unit test ID,Optional / Essential (O/E),number of cycles
Video 11,/v/multistep-word-problems-example-1/,,,E,
Video 12,/v/multistep-word-problems-example-2/,,,E,
Video 13,/v/multistep-word-problems-example-3/,,,E,
,,,,,
,Playlist 8: Measuring segments- number patterns,g4_p8,,O,
,Subtitle: Week 9,,,O,
Video 1,/v/measuring-segments/,,,O,
Video 2,/v/congruent-segments/,,,O,
Exercise 1,/e/measuring_segments/,,,O,
Exercise 2,/e/congruent_segments/,,,O,
Video 3,/v/figuring-out-days-of-the-week/,,,O,
Video 4,/v/math-patterns-example-1/,,,O,
Video 5,/v/math-patterns-example-2/,,,O,
Video 6,/v/relationships-between-patterns/,,,O,
Video 7,/v/interpreting-relationships-between-patterns/,,,O,
Video 8,/v/interpreting-and-graphing-relationships-between-patterns/,,,O,
,,,,,
,Grade IV - Unit Test 3,"g4_p6, g4_p7",g4_t3,E,4
,,,,,
,Playlist 9: Division,g4_p9,,E,
,Subtitle: Week 10,,,E,
Video 1,/v/the-idea-of-division/,,,E,
Video 2,/v/division-1/,,,E,
Video 3,/v/dividing-whole-numbers-and-applications-1/,,,E,
Exercise 1,/e/division_0.5/,,,E,
Exercise 2,/e/division_1/,,,E,
,Quiz 8,g4_p9_q8,,E,
,Subtitle: Week 11,,,E,
Video 4,/v/division-2/,,,E,
Video 5,/v/introduction-to-remainders/,,,E,
Video 6,/v/long-division-with-remainder-example/,,,E,
Video 7,/v/division-3--more-long-division-and-remainder-examples/,,,E,
Video 8,/v/dividing-by-a-two-digit-number/,,,E,
Video 9,/v/level-4-division/,,,E,
Exercise 3,/e/division_1.5/,,,E,
Exercise 4,/e/division_2/,,,E,
,Subtitle: Week 12,,,E,
Exercise 5,/e/division_3/,,,E,
Exercise 6,/e/division_4/,,,E,
Video 10,/v/partial-quotient-division/,,,E,
Video 11,/v/partial-quotient-method-of-division-2/,,,E,
,Quiz 9,g4_p9_q9,,E,
,,,,,
,Playlist 10: Division word problems- revision of multiplication & division,g4_p10,,E,
,Subtitle: Week 13,,,E,
Video 1,/v/comparing-with-multiplication-exercise/,,,E,
Video 2,/v/multiplying-whole-numbers-and-applications-6/,,,E,
Video 3,/v/multiplication-word-problem-example-1/,,,E,
Video 4,/v/division-word-problem-example-1/,,,E,
Video 5,/v/multiplication-and-division-word-problems-2/,,,E,
Exercise 1,/e/arithmetic_word_problems_2/,,,E,
Exercise 2,/e/arithmetic_word_problems/,,,E,
Video 6,/v/multi-step-word-problems-with-whole-numbers-exercise-1/,,,E,
Video 7,/v/multi-step-word-problems-with-whole-numbers-exercise-t2/,,,E,
Video 8,/v/multi-step-word-problems-with-whole-numbers-exercise-3/,,,E,
Video 9,/v/constructing-numerical-expressions-example/,,,E,
Video 10,/v/evaluating-an-expression-with-and-without-parentheses/,,,E,
,Quiz 10,g4_p10_q10,,E,
,,,,,
,Grade IV - Unit Test 4,"g4_p9, g4_p10",g4_t4,E,4
,,,,,
,Playlist 11: Tables & bar graphs,g4_p11,,E,
,Subtitle: Week 16,,,E,
Video 1,/v/reading-tables-1/,,,E,
Exercise 1,/e/reading_tables_1/,,,E,
Video 2,/v/u08-l1-t2-we3-stem-and-leaf-plots/,,,E,
Video 3,/v/reading-pictographs/,,,E,
Exercise 2,/e/reading_pictographs_1/,,,E,
Exercise 3,/e/reading_pictographs_2/,,,E,
,Quiz 11,g4_p11_q11,,E,
,Subtitle: Week 17,,,E,
Video 4,/v/reading-bar-graphs/,,,E,
Video 5,/v/reading-bar-charts-1/,,,E,
Exercise 4,/e/reading_bar_charts_1/,,,E,
Video 6,/v/creating-bar-charts-1/,,,E,
Exercise 5,/e/creating_bar_charts_1/,,,E,
Video 7,/v/reading-bar-charts-2/,,,E,
Exercise 6,/e/reading_bar_charts_2/,,,E,
,Quiz 12,g4_p11_q12,,E,
,,,,,
,Playlist 12: Telling time,g4_p12,,E,
,Subtitle: Week 19,,,E,
Video 1,/v/figuring-out-days-of-the-week/,,,E,
Video 2,/v/telling-time-exercise-example-1/,,,E,
Video 3,/v/telling-time-exercise-example-2/,,,E,
Exercise 1,/e/telling_time_0.5/,,,E,
,Subtitle: Week 20,,,E,
Exercise 2,/e/telling_time/,,,E,
Exercise 3,/e/telling_time_2/,,,E,
,Quiz 13,g4_p12_q13,,E,
,,,,,
,Grade IV - Unit Test 5,"g4_p11, g4_p12",g4_t5,E,4
,,,,,
,Playlist 13: Understanding fractions,g4_p13,,E,
,Subtitle: Week 21,,,E,
Video 1,/v/introduction-to-fractions/,,,E,
Video 2,/v/identifying-fraction-parts/,,,E,
Video 3,/v/recognizing-fractions-exercise/,,,E,
Exercise 1,/e/recognizing_fractions_0.5/,,,E,
Video 4,/v/numerator-and-denominator-of-a-fraction/,,,E,
Exercise 2,/e/recognizing_fractions/,,,E,
Video5,/v/plotting-basic-fractions-on-the-number-line/,,,E,
Exercise 3,/e/fractions_on_the_number_line_1/,,,E,
Video 6,/v/fraction-word-problems-1-exercise/,,,E,
Exercise 4,/e/fraction_word_problems_1/,,,E,
,Quiz 14,g4_p13_q14,,E,
,,,,,
,"Playlist 14: Visualizing, comparing & decomposing fractions",g4_p14,,E,
,Subtitle: Week 22,,,E,
Video 1,/v/visualizing-equivalent-fractions/,,,E,
Video 2,/v/equivalent-fraction-word-problem-example/,,,E,
Video 3,/v/equivalent-fraction-word-problem-example-2/,,,E,
Video 4,/v/equivalent-fraction-word-problem-example-3/,,,E,
Video 5,/v/fractions-cut-and-copy-1-exercise/,,,E,
Exercise 1,/e/fractions_cut_and_copy_1/,,,E,
Video 6,/v/comparing-fractions-with-greater-than-and-less-than-symbols/,,,E,
Video 7,/v/fractions-with-like-denominators-numerators/,,,E,
Video 8,/v/comparing-fractions/,,,E,
Exercise 2,/e/comparing_fractions_1/,,,E,
Video 9,/v/decomposing-a-fraction-visually/,,,E,
Video 10,/v/decomposing-a-mixed-number/,,,E,
Video 11,/v/adding-up-to-a-fraction-drag-and-drop-example/,,,E,
,Quiz 15,g4_p14_q15,,E,
,,,,,
,Playlist 15: Adding & subtracting fractions,g4_p15,,E,
,Subtitle: Week 23,,,E,
Video 1,/v/adding-fractions-with-like-denominators/,,,E,
Video 2,/v/subtracting--fractions/,,,E,
Video 3,/v/adding-and-subtracting-fractions/,,,E,
Exercise 1,/e/adding_fractions_with_common_denominators/,,,E,
Exercise 2,/e/subtracting_fractions_with_common_denominators/,,,E,
Video 4,/v/comparing-improper-fractions-and-mixed-numbers/,,,E,
Exercise 3,/e/comparing_improper_fractions_and_mixed_numbers/,,,E,
Video 5,/v/mixed-numbers-and-improper-fractions/,,,E,
Video 6,/v/proper-and-improper-fractions/,,,E,
,Quiz 16,g4_p15_q16,,E,
,Subtitle: Week 24,,,E,
Video 7,/v/converting-mixed-numbers-to-improper-fractions/,,,E,
Exercise 4,/e/converting_mixed_numbers_and_improper_fractions/,,,E,
Video 8,/v/changing-a-mixed-number-to-an-improper-fraction/,,,E,
Video 9,/v/changing-an-improper-fraction-to-a-mixed-number/,,,E,
Video 10,/v/postive-improper-fractions-on-the-number-line/,,,E,
Exercise 5,/e/fractions_on_the_number_line_2/,,,E,
Video 11,/v/ordering-improper-fractions-and-mixed-numbers/,,,E,
Exercise 6,/e/ordering_improper_fractions_and_mixed_numbers/,,,E,
Video 12,/v/fractions-cut-and-copy-2-exercise-example/,,,E,
Video 13,/v/adding-mixed-numbers/,,,E,
,Quiz 17,g4_p15_q17,,E,
,,,,,
,Grade IV - Unit Test 6,"g4_p13, g4_p14, g4_p15",g4_t6,E,3
,,,,,
,Playlist 16: Non-standard shapes- angle basics & measurements,g4_p16,,E,
,Subtitle: Week 25,,,E,
Video 1,/v/quadrilateral-overview/,,,E,
Video 2,/v/quadrilateral-properties/,,,E,
Video 3,/v/perimeter-of-a-polygon/,,,E,
Exercise 1,Subtitle: Week 26,,,E,
Video 4,/v/angle-basics/,,,E,
Video 5,/v/measuring-angles-in-degrees/,,,E,
Video 6,/v/using-a-protractor/,,,E,
Video 7,/v/measuring-angles/,,,E,
Exercise 2,/e/measuring_angles/,,,E,
Video 8,/v/acute-right-and-obtuse-angles/,,,E,
Exercise 3,/e/angle_types/,,,E,
Video 9,/v/vertical--adjacent-and-linearly-paired-angles/,,,E,
Exercise 4,/e/exploring_angle_pairs_1/,,,E,
,Quiz 18,g4_p16_q18,,E,
,,,,,
,Playlist 17: Logical reasoning,g4_p17,,O,
,Subtitle: Week 26,,,O,
Video 1,/v/conditional-statements-and-deductive-reasoning/,,,O,
Video 2,/v/conditional-statements-exercise-examples/,,,O,
Video 3,/v/logical-argument-and-deductive-reasoning-exercise-example/,,,O,
Exercise 1,/e/conditional_statements_2/,,,O,
Exercise 2,/e/logical_arguments_deductive_reasoning/,,,O,
Exercise 3,"
/e/conditional_statements_and_truth_value/",,,O,
,,,,,
,Playlist 18: Addition & subtraction word problems- circumference & area of circles,g4_p18,,E,
,Subtitle: Week 27,,,E,
Video 1,/v/subtraction-word-problem/,,,E,
Exercise 1,/e/arithmetic_word_problems_1/,,,E,
,Subtitle: Week 30,,,E,
Video 2,/v/circles--radius--diameter-and-circumference/,,,E,
Video 3,/v/parts-of-a-circle/,,,E,
Exercise 2,/e/radius_diameter_and_circumference/,,,E,
Video 4,/v/language-and-notation-of-the-circle/,,,E,
Video 5,/v/circles--radius--diameter-and-circumference/,,,E,
Video 6,/v/parts-of-a-circle/,,,E,
,,,,,
,Grade IV - Unit Test 7,"g4_p16, g4_p18",g4_t7,E,4
,,,,,
,Grade IV - Baseline Exam,"g3_p1, g3_p2, g3_p3, g3_p4, g3_p5, g3_p6, g3_p7, g3_p8, g3_p9, g3_p10, g3_p11, g3_p12",g4_t0,E,2
